workerid,trial_type,stim_type,trial_num,trial_prompt,stim_category0,stim_category1,stim_category2,stim_category3,stim_category4,slider1,slider2,stim_color,slider0,slider3,slider4,stim_part
0,prior_elicitation,danger-distinct,0,catprop,plovs,krivels,kazzes,feps,ollers,0.49,0.48,gold,0.49,0.48,0.47,feathers
0,prior_elicitation,bare,1,catprop,noobs,cheebas,sapers,luzaks,morseths,0.62,0.37,red,0.31,0.43,0.41,feathers
0,prior_elicitation,danger-distinct,2,catprop,dorbs,moxes,mooks,taifels,ackles,0.33,0.34,yellow,0.52,0.52,0.51,scales
0,prior_elicitation,bare,3,catprop,zorbs,thups,trufts,glippets,elleps,0.49,0.48,orange,0.49,0.49,0.5,tails
0,prior_elicitation,nondistinctive,4,catprop,javs,zoovs,daiths,frams,ludinos,0.4,0.41,purple,0.46,0.52,0.24,shells
0,prior_elicitation,nondistinctive,5,catprop,stups,lorches,reesles,kweps,blins,0.39,0.26,gold,0.56,0.41,0.42,spots
1,prior_elicitation,nondistinctive,0,catprop,taifels,kweps,elleps,ackles,dorbs,0,0,purple,1,1,0,tails
1,prior_elicitation,danger-distinct,1,catprop,zoovs,javs,sapers,feps,stups,0,0,green,1,0,0,teeth
1,prior_elicitation,bare,2,catprop,cheebas,ludinos,luzaks,frams,moxes,0,0,blue,1,0,0,ears
1,prior_elicitation,nondistinctive,3,catprop,lorches,trufts,noobs,plovs,blins,1,0,purple,1,0,0,feathers
1,prior_elicitation,bare,4,catprop,krivels,ollers,mooks,thups,daiths,0,0,pink,1,0,0,teeth
1,prior_elicitation,danger-distinct,5,catprop,morseths,zorbs,reesles,glippets,kazzes,0,0,silver,1,0,0,fur
2,prior_elicitation,nondistinctive,0,catprop,blins,plovs,reesles,stups,moxes,0.63,0.52,red,0.42,0.16,0.22,scales
2,prior_elicitation,bare,1,catprop,ludinos,daiths,kweps,luzaks,frams,0.05,0.1,yellow,0.49,0.64,0.47,legs
2,prior_elicitation,danger-distinct,2,catprop,feps,morseths,taifels,zorbs,cheebas,0.08,0.58,pink,0.81,0.37,0.04,legs
2,prior_elicitation,nondistinctive,3,catprop,dorbs,thups,krivels,elleps,ackles,0.35,0.07,yellow,0.82,0.66,0.38,scales
2,prior_elicitation,danger-distinct,4,catprop,sapers,mooks,ollers,zoovs,lorches,0.17,0.51,red,0.6,0.28,0.68,spots
2,prior_elicitation,bare,5,catprop,noobs,javs,kazzes,trufts,glippets,0.68,0.54,red,0.19,0.13,0.19,feathers
3,prior_elicitation,danger-distinct,0,catprop,moxes,noobs,elleps,frams,stups,0.09,0.06,green,0.71,0.05,0.23,shells
3,prior_elicitation,danger-distinct,1,catprop,lorches,feps,daiths,taifels,plovs,0.3,0.04,purple,0.66,0.11,0.01,feathers
3,prior_elicitation,nondistinctive,2,catprop,kweps,krivels,mooks,trufts,dorbs,0.04,0.45,copper,0.23,0.21,0.56,fur
3,prior_elicitation,nondistinctive,3,catprop,ollers,javs,zorbs,blins,ludinos,0.13,0.44,yellow,0.25,0.87,0.3,fur
3,prior_elicitation,bare,4,catprop,ackles,zoovs,thups,glippets,cheebas,0.71,0.35,silver,0.05,0.16,0.31,legs
3,prior_elicitation,bare,5,catprop,kazzes,sapers,luzaks,morseths,reesles,0.43,0.33,orange,0.23,0.16,0.05,ears
4,prior_elicitation,nondistinctive,0,catprop,zoovs,dorbs,elleps,luzaks,reesles,0.06,0.06,green,0,0.07,0.87,teeth
4,prior_elicitation,bare,1,catprop,frams,taifels,trufts,sapers,morseths,0.87,0,silver,0,0,0,stripes
4,prior_elicitation,danger-distinct,2,catprop,thups,cheebas,stups,blins,ludinos,0,0,blue,0,0,0.93,teeth
4,prior_elicitation,nondistinctive,3,catprop,krivels,ackles,javs,daiths,mooks,0,0.92,pink,0.92,0.92,0.04,teeth
4,prior_elicitation,danger-distinct,4,catprop,plovs,moxes,kweps,noobs,ollers,0,0,gold,0,0,0.91,feathers
4,prior_elicitation,bare,5,catprop,zorbs,feps,glippets,kazzes,lorches,0,0,orange,0,0.12,0.9,tails
5,prior_elicitation,bare,0,catprop,ollers,ludinos,blins,plovs,moxes,0.51,0.19,yellow,0.99,0.02,0.77,fur
5,prior_elicitation,nondistinctive,1,catprop,sapers,kweps,reesles,lorches,ackles,0.75,0.99,red,0.75,0.2,0.54,spots
5,prior_elicitation,nondistinctive,2,catprop,stups,taifels,zoovs,luzaks,daiths,0.75,0.19,gold,0.2,0.2,0.89,spots
5,prior_elicitation,bare,3,catprop,elleps,morseths,kazzes,trufts,mooks,0.67,0.11,pink,0.9,0.73,0.12,ears
5,prior_elicitation,danger-distinct,4,catprop,thups,dorbs,glippets,zorbs,noobs,0.14,0.61,blue,0.15,0.87,0.15,teeth
5,prior_elicitation,danger-distinct,5,catprop,cheebas,javs,krivels,feps,frams,0.87,0.84,blue,0.85,0.17,0.18,ears
6,prior_elicitation,nondistinctive,0,catprop,javs,ollers,stups,blins,ludinos,0.28,0,purple,0,0.62,0,shells
6,prior_elicitation,nondistinctive,1,catprop,ackles,kazzes,dorbs,lorches,sapers,0,0.19,silver,0.51,0.21,0,legs
6,prior_elicitation,bare,2,catprop,feps,reesles,thups,taifels,glippets,0.55,0.08,pink,1,0,0,legs
6,prior_elicitation,danger-distinct,3,catprop,frams,mooks,plovs,cheebas,daiths,0,0,silver,0,0,1,stripes
6,prior_elicitation,bare,4,catprop,morseths,moxes,luzaks,noobs,trufts,0.3,0,silver,0.11,0,0.48,fur
6,prior_elicitation,danger-distinct,5,catprop,zoovs,zorbs,kweps,elleps,krivels,0,0,green,1,0,0,teeth
7,prior_elicitation,bare,0,catprop,ackles,krivels,lorches,thups,frams,0.3,0,silver,0.68,0,0,legs
7,prior_elicitation,danger-distinct,1,catprop,trufts,ollers,elleps,moxes,feps,0,0,green,0,1,0,tails
7,prior_elicitation,nondistinctive,2,catprop,javs,zorbs,mooks,morseths,glippets,0.34,0,purple,0,0.45,0.4,shells
7,prior_elicitation,nondistinctive,3,catprop,stups,dorbs,kweps,kazzes,taifels,0.63,0,gold,0,0.65,0,spots
7,prior_elicitation,danger-distinct,4,catprop,cheebas,plovs,ludinos,luzaks,reesles,0,0,blue,0,0,1,ears
7,prior_elicitation,bare,5,catprop,noobs,blins,sapers,zoovs,daiths,0.22,0.2,red,0.15,0.2,0.22,feathers
8,prior_elicitation,nondistinctive,0,catprop,moxes,zorbs,zoovs,luzaks,javs,0,0,green,0.13,1,0.2,shells
8,prior_elicitation,bare,1,catprop,cheebas,krivels,lorches,elleps,ludinos,0,0,blue,0,0.53,0,ears
